epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1552,1.53599,4.30535,0.96952,0,0,0,0,3.27683,4.47356,1.69627,0.00021,0.00021,0.07921
2,64.2354,1.53333,2.2951,0.95926,0.125,0.00833,0.00438,0.00237,1.72155,4.38839,1.05011,0.000421486,0.000421486,0.0574215
3,87.3146,1.4525,1.81182,0.99532,0.24762,0.12917,0.08458,0.0503,1.57422,4.19812,1.05334,0.00062426,0.00062426,0.0356243
4,111.946,1.46602,1.64192,0.97022,0.21743,0.56622,0.31753,0.19509,1.29456,2.86559,0.93353,0.000818322,0.000818322,0.0138183
5,136.62,1.38414,1.54757,0.92948,0.38889,0.44494,0.27548,0.17993,1.28456,3.18592,0.92134,0.0009208,0.0009208,0.0009208
6,159.855,1.42205,1.4589,0.92262,0.57574,0.33269,0.38659,0.24693,1.25047,1.9187,0.90293,0.000901,0.000901,0.000901
7,183.724,1.31827,1.35035,0.93389,0.79675,0.29384,0.41719,0.24782,1.2809,2.11517,0.90398,0.0008812,0.0008812,0.0008812
8,208.123,1.3575,1.29707,0.92116,0.69611,0.44714,0.471,0.28041,1.27097,1.7129,0.8943,0.0008614,0.0008614,0.0008614
9,232.874,1.32091,1.16591,0.92353,0.75082,0.43714,0.50785,0.31611,1.26905,1.63092,0.89324,0.0008416,0.0008416,0.0008416
10,258.463,1.30931,1.12838,0.91422,0.71289,0.5228,0.58727,0.35996,1.25251,1.32619,0.90604,0.0008218,0.0008218,0.0008218
11,283.148,1.33264,1.06794,0.90885,0.8308,0.58102,0.62344,0.37847,1.23896,0.93235,0.90071,0.000802,0.000802,0.000802
12,307.732,1.36313,1.01814,0.91601,0.89648,0.59662,0.67394,0.39281,1.19682,0.90745,0.88203,0.0007822,0.0007822,0.0007822
13,330.986,1.27333,1.00641,0.88173,0.91075,0.59452,0.68311,0.41557,1.1621,0.85901,0.8709,0.0007624,0.0007624,0.0007624
14,355.091,1.20376,0.92187,0.85584,0.82294,0.61303,0.66417,0.43009,1.09928,0.84777,0.86087,0.0007426,0.0007426,0.0007426
15,379.832,1.26005,0.93941,0.89947,0.87892,0.6394,0.7161,0.4416,1.05389,0.77706,0.85447,0.0007228,0.0007228,0.0007228
16,404.549,1.29171,0.91107,0.88456,0.87981,0.67287,0.72393,0.4447,1.13966,0.79408,0.88137,0.000703,0.000703,0.000703
17,428.563,1.23876,0.85608,0.88276,0.92757,0.67882,0.73399,0.4532,1.09958,0.72554,0.85945,0.0006832,0.0006832,0.0006832
18,452.678,1.18911,0.83661,0.88066,0.80901,0.68818,0.70888,0.44754,1.0709,0.72104,0.84898,0.0006634,0.0006634,0.0006634
19,476.171,1.07171,0.813,0.84257,0.83106,0.69476,0.72291,0.45283,1.09049,0.70002,0.85622,0.0006436,0.0006436,0.0006436
20,499.525,1.20213,0.8091,0.92969,0.86754,0.67056,0.71705,0.45614,1.0944,0.71036,0.86646,0.0006238,0.0006238,0.0006238
21,523.811,1.09963,0.77255,0.87037,0.85418,0.67997,0.72857,0.4534,1.05657,0.70746,0.85724,0.000604,0.000604,0.000604
22,547.744,1.17774,0.76189,0.87698,0.8498,0.70394,0.73022,0.45387,1.08127,0.70894,0.8611,0.0005842,0.0005842,0.0005842
23,572.631,1.1214,0.76416,0.85394,0.80618,0.71864,0.73165,0.45894,1.0712,0.71,0.85394,0.0005644,0.0005644,0.0005644
